Норматив,Время (мин),Время (час),,,,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,12,05.05.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,3,26.04.2022,,,,,,,,,,,,,,,
Киров,Точки,Тургенева,,28,26.05.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,12,02.06.2022,,,,,,,,,,,,,,,
Киров,Точечная застройка,Профсоюзная ,,56,16.06.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,Д.Козулева,,5,28.06.2022,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,2,07.06.2022,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,2а,07.06.2022,,,,,,,,,,,,,,,
Киров,Точки,Тургенева,,8,16.06.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,5,08.06.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,14,20.06.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,7,15.07.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,7/1,15.07.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,7/2,15.07.2022,,,,,,,,,,,,,,,
Киров,Точки,Советская,,49,17.08.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,12,25.08.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,8,01.09.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,10,15.09.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,Д.Козулева,,3,15.09.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,Д.Козулева,,5,10.09.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,4,26.09.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,6,26.09.2022,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,14,28.09.2022,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,1,22.09.2022,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,3,28.09.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,3,16.10.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,13,31.10.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,11,31.10.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,Д.Козулева,,3/1,21.10.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,6,14.11.2022,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,9,22.11.22,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,10,28.11.22,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,6,30.11.2022,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,5,1.12.2022,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,4а,20.12.2022,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,2,20.01.2023,,,,,,,,,,,,,,,
Киров,Точки,Калинина,,9,24.01.2023,,,,,,,,,,,,,,,
Киров,Точки,Тургенева,,28,02.02.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,Д.Козулева,,5,11.03.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,Энтузиастов,,60/1,20.03.2023,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,4,27.03.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,26,21.03.2023,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,8,18.04.2023,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,4,19.04.2023,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,2,19.04.2023,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,5,20.04.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,Энтузиастов,,62,21.04.2023,,,,,,,,,,,,,,,
Киров,Знак Киров,Энтузиастов,,64,21.04.2023,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,8а,24.04.2023,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,6,24.04.2023,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,4,25.04.2023,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,8,26.04.2023,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,6а,27.04.2023,,,,,,,,,,,,,,,
Киров,Васильки,Севастопольская,,5,27.04.2023,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,2а,04.05.2023,,,,,,,,,,,,,,,
Киров,Васильки,Севастопольская,,5,,,,,,,,,,,,,,,,
Киров,Елки Парк,Старославянская,,2,,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,6,,,,,,,,,,,,,,,,
Киров,Васильки,Г.Рослякова,,4,,,,,,,,,,,,,,,,
Киров,Точки,Тургенева,,28,,,,,,,,,,,,,,,,
Киров,Знак Киров,К.Дорофеева,,26,,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,10,,,,,,,,,,,,,,,,
Киров,Метроград,Краснополянская,,12,,,,,,,,,,,,,,,,
Киров,Метроград,Садаковская,,10,,,,,,,,,,,,,,,,
Регион,ЖК,МКД,"Квартиры, шт.",Плановая дата начала ОСС,Срок голосования (дней),Даты начала ОСС,Дата завершения ОСС,Тип собрания,Статус,Реквизиты протокола,Инициатор ОСС,Основные вопросы,"Ресурсы, человек","Норматив, час на 1 кв","Сколько по плану часов, час.","Сколько по плану дней, дни",Выход каждые ___ дня,"Отклонение от срока голосования, дни",Отв. сотрудник за подготовку ОСС,Примечание
Киров,Васильки,Героя Рослякова д.3,85,янв. 2025,30,31.01.2025,,Очно-заочное,Завершено,,Азбука,Тариф,1,"0,42",35,12,3,,Шубина Н.В.,
Киров,Елки,Старославянская д.14,134,янв. 2025,30,31.01.2025,,Очно-заочное,Не состоялось,,Азбука,ДУ,1,"0,33",45,15,2,,Шубина Н.В.,
